=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Python version: 3.7.3 (default, Mar 27 2019, 17:13:21) [MSC v.1915 64 bit (AMD64)]
Author: Benjamin Crews
Numpy version: 1.16.2
Pandas version: 0.24.2
Matplotlib version: 3.0.3
SciKit-Aero version: 0.1
=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
First, Calculate Ct from Momentum Theory: Ct = 0.00382, @ T = 5000

Next, Calculate the solidity, which is constant for a constant-chord blade:

Next, Calculate the tip-loss factor: B = 0.97814, @ T = 5000

For the 3 drag coefficients, empirical values will be uses: 0.0087, -0.0216, 0.4

Finally, Cq can be calculated!

And the last value to be calculated is the Figure of Merit, M:

    Thrust [lbs]        Ct  Solidity         B        Cq         M
0       0.000000  0.000000  0.063056  1.000000  0.000069  0.000000
1     263.157895  0.000201  0.063056  0.994985  0.000070  0.028705
2     526.315789  0.000402  0.063056  0.992908  0.000074  0.077079
3     789.473684  0.000604  0.063056  0.991314  0.000079  0.132327
4    1052.631579  0.000805  0.063056  0.989970  0.000086  0.188446
5    1315.789474  0.001006  0.063056  0.988786  0.000093  0.242044
6    1578.947368  0.001207  0.063056  0.987716  0.000102  0.291345
7    1842.105263  0.001408  0.063056  0.986732  0.000111  0.335604
8    2105.263158  0.001610  0.063056  0.985816  0.000122  0.374699
9    2368.421053  0.001811  0.063056  0.984955  0.000133  0.408857
10   2631.578947  0.002012  0.063056  0.984141  0.000146  0.438482
11   2894.736842  0.002213  0.063056  0.983367  0.000159  0.464048
12   3157.894737  0.002414  0.063056  0.982628  0.000173  0.486035
13   3421.052632  0.002616  0.063056  0.981918  0.000187  0.504896
14   3684.210526  0.002817  0.063056  0.981236  0.000203  0.521045
15   3947.368421  0.003018  0.063056  0.980577  0.000219  0.534850
16   4210.526316  0.003219  0.063056  0.979940  0.000236  0.546632
17   4473.684211  0.003420  0.063056  0.979323  0.000254  0.556668
18   4736.842105  0.003622  0.063056  0.978723  0.000273  0.565199
19   5000.000000  0.003823  0.063056  0.978140  0.000292  0.572429
